,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
1566,1,3,3,1,2,1,2,1,2,2,2,2,2,3,2,1,1,1,3,2,3,1
7214,3,1,5,1,3,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,4
5614,1,1,5,1,5,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,4
3454,2,1,4,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,3,1,2
2114,1,2,4,2,2,1,1,1,1,2,1,2,2,2,3,1,1,1,2,2,1,2
4618,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,4
4303,2,2,1,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1
4011,1,2,5,2,2,1,1,1,6,2,1,2,2,2,1,1,1,1,2,3,2,2
4502,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,2,1
6431,1,1,5,1,5,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,4
8079,3,3,4,1,3,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,2
4620,2,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2
540,2,2,2,1,2,1,2,1,1,2,2,2,3,3,2,1,1,1,3,3,4,1
8015,3,3,5,1,3,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,4
3365,1,3,2,1,4,1,1,2,6,1,1,2,2,3,2,1,1,1,2,3,4,2
5246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4
2894,2,2,4,2,2,1,1,1,6,2,1,2,2,3,3,1,1,1,2,3,2,2
315,1,3,1,2,7,1,2,2,9,2,1,2,2,3,2,1,1,1,2,2,2,2
4587,2,1,2,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,2,2
5059,1,3,3,2,1,1,1,1,1,2,1,3,3,3,2,1,1,1,2,1,4,6
3142,2,1,2,2,2,1,1,1,6,2,1,2,2,3,3,1,1,1,2,3,1,2
6023,2,1,5,1,5,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,2
2892,1,1,5,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,3,2,2
5110,2,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,2,2
5327,1,1,5,1,5,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,3
239,2,1,1,2,7,1,1,1,9,1,4,2,4,3,2,1,1,1,2,3,1,4
7548,3,1,4,1,1,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,4
1123,2,3,1,2,7,1,2,2,1,2,1,2,2,3,2,1,1,1,2,8,2,2
5510,1,1,5,1,5,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,3
6575,2,3,4,1,1,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,4
6105,1,1,5,1,3,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,3
6139,2,3,5,1,3,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,4
5271,2,3,3,2,1,1,1,1,9,2,1,3,2,3,2,1,1,1,2,1,4,6
2691,1,1,4,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,2,2,2
533,2,3,4,2,6,1,1,2,10,1,2,2,2,3,2,1,1,1,2,3,4,1
5048,1,1,1,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,1,2
3978,2,2,5,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,2,2,2
7265,4,2,2,1,2,1,2,1,9,1,3,2,2,3,2,1,1,2,2,4,6,1
3505,1,2,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1
2191,1,3,2,1,2,1,2,1,10,2,2,2,2,3,2,1,1,1,3,2,4,1
4588,2,1,2,1,1,1,1,1,5,1,1,1,1,7,7,1,1,1,1,1,2,2
4317,2,1,2,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,2
5571,2,1,1,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,2,2
2815,1,2,4,2,2,1,1,1,9,2,1,2,2,2,2,1,1,1,2,3,1,2
6952,3,3,4,1,3,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,2
3455,2,1,2,2,2,1,1,1,1,2,1,2,2,3,2,1,1,1,2,3,1,2
5998,2,1,1,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,1,1
7549,4,3,3,1,2,1,2,1,5,1,3,1,2,3,2,1,1,2,2,4,4,1
6840,2,3,5,1,5,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,2
6154,3,3,4,1,5,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,2
7592,3,3,3,1,2,1,2,1,1,1,3,2,1,3,2,1,1,2,2,4,4,1
1002,1,3,3,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,3,2,1
6415,2,1,4,1,5,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,2
7124,3,3,5,1,3,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,4
1758,1,3,2,1,2,1,2,1,10,2,2,3,3,3,2,1,1,1,3,3,4,1
2498,1,1,2,2,2,1,1,1,1,2,1,2,2,3,3,1,1,1,2,3,2,2
1803,2,2,4,2,2,1,1,1,4,2,1,2,2,1,3,1,1,1,2,2,1,2
1665,1,2,3,1,2,1,2,1,10,2,2,2,3,3,2,1,1,1,3,2,4,1
3964,1,1,2,1,1,1,1,1,2,1,1,1,1,5,5,1,1,1,1,1,1,1
2354,1,2,5,2,2,1,1,1,4,2,1,2,2,1,3,1,1,1,2,3,2,2
6243,2,3,5,1,5,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,3
7220,2,3,4,1,2,2,1,1,8,1,3,2,2,4,4,1,3,1,2,5,2,3
5540,1,2,1,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,1,1
7237,3,1,4,1,5,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,4
3047,2,1,4,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,3,1,2
4180,2,2,2,1,1,1,1,1,2,1,1,1,1,5,7,1,1,1,1,1,1,2
4985,1,1,4,1,5,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,3
3033,2,2,2,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,2,4
5452,2,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,2,4
5114,1,3,2,2,1,1,1,1,2,2,1,2,3,3,2,1,1,1,2,1,4,1
1046,2,1,4,2,6,1,1,2,4,1,2,2,2,3,2,1,1,1,2,2,4,6
318,2,3,3,2,8,1,2,2,9,2,1,2,2,3,2,1,1,1,2,2,2,2
2471,1,2,4,2,2,1,1,1,9,2,1,2,2,2,3,1,1,1,2,3,2,2
6597,2,3,5,1,5,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,4
858,1,3,4,2,6,1,1,2,1,1,2,2,2,3,2,1,1,1,2,3,2,1
5517,1,2,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,2
6753,2,1,5,1,1,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,2
3362,1,2,2,1,1,1,1,1,2,1,1,1,1,7,5,1,1,1,1,1,1,1
3333,1,2,2,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,2,1
472,5,2,2,1,2,1,1,2,10,1,2,2,2,3,2,1,1,1,2,3,1,6
4504,1,1,2,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1,1,2
2847,2,2,2,2,2,1,1,1,4,2,1,2,2,1,2,1,1,1,2,2,1,2
4827,1,3,2,2,1,1,1,1,1,2,1,3,3,3,2,1,1,1,2,1,4,6
748,2,3,1,2,7,1,2,2,4,2,1,2,2,3,2,1,1,1,2,8,2,2
3538,1,2,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,2
3966,2,1,1,1,1,1,1,1,2,1,1,1,1,7,7,1,1,1,1,1,1,4
4921,2,1,2,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1,1,4
5143,1,3,5,2,2,1,1,1,11,1,3,2,2,6,2,1,1,2,3,4,5,5
2405,1,1,5,2,2,1,1,1,9,2,1,2,2,2,2,1,1,1,2,2,1,2
1203,2,3,3,2,6,1,1,2,4,1,2,2,2,3,2,1,1,1,2,2,4,1
1374,2,3,4,2,6,1,1,2,1,1,2,2,2,3,2,1,1,1,2,3,2,1
4982,1,1,1,1,1,1,1,1,5,1,1,1,1,7,5,1,1,1,1,1,1,4
7362,3,1,5,1,5,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,4
5099,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
93,1,3,4,1,2,1,2,1,4,2,2,2,2,3,2,1,1,1,3,2,3,1
2669,1,2,5,2,2,1,1,1,9,2,1,2,2,1,1,1,1,1,2,2,2,2
712,4,1,1,2,8,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,6,1
4925,3,3,6,2,2,1,1,1,11,1,3,2,2,3,2,1,1,2,3,4,5,5
4519,2,2,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,2
101,2,1,1,2,8,1,1,1,9,1,4,2,4,3,2,1,1,1,2,2,4,1
4793,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
1430,1,2,4,2,2,1,1,1,1,2,1,2,2,3,2,1,1,1,2,3,2,2
518,1,1,1,2,7,1,1,1,10,1,5,2,2,3,2,1,1,1,2,2,6,1
1297,1,1,1,2,7,1,1,1,9,1,4,2,4,3,2,1,1,1,2,3,4,4
1606,1,3,4,1,2,1,2,1,4,2,2,2,2,3,2,1,1,1,3,2,4,1
5522,1,3,3,2,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,1,2,6
3332,2,1,4,2,2,1,1,1,4,2,1,2,2,1,1,1,1,1,2,3,1,2
8017,1,3,3,1,2,1,2,1,9,1,3,2,1,3,2,1,1,2,2,4,4,1
7915,1,2,2,1,2,1,2,1,9,1,3,2,1,3,2,1,1,2,2,4,6,1
5693,1,1,4,1,5,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,2
4818,2,2,2,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,1,4
6602,1,3,4,1,3,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,2
453,4,3,3,2,8,1,1,1,5,1,5,2,2,3,2,1,1,1,2,2,6,7
1569,2,2,4,1,2,1,2,1,10,2,2,2,3,3,2,1,1,1,3,3,3,1
6004,2,1,5,1,3,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,2
4511,2,2,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,4
794,1,1,4,2,6,1,1,2,4,1,2,2,2,3,2,1,1,1,2,2,4,6
1005,1,3,3,1,2,1,2,1,10,2,2,3,2,3,2,1,1,1,3,2,3,1
1009,1,1,3,2,7,1,1,1,5,1,5,2,2,3,2,1,1,1,2,2,4,7
2022,1,2,4,1,2,1,2,1,10,2,2,2,3,3,2,1,1,1,3,3,4,1
3720,2,1,4,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
4359,2,1,2,1,1,1,1,1,5,1,1,1,1,7,5,1,1,1,1,1,1,2
1438,1,3,3,1,2,1,2,1,4,2,2,3,2,3,2,1,1,1,3,2,4,1
5107,1,3,2,2,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,1,2,6
4421,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1
5686,3,2,8,1,2,1,2,2,9,1,1,2,2,3,5,1,1,1,3,4,2,3
6807,1,1,5,1,3,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,4
2149,1,2,5,2,2,1,1,1,6,2,1,2,2,2,1,1,1,1,2,3,1,2
5474,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,2
4004,1,1,2,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,2
4266,2,2,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,1
1807,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,3,1,2
1740,2,2,4,1,2,1,2,1,2,2,2,2,2,3,2,1,1,1,3,2,4,1
6515,1,3,4,1,5,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,3
1176,2,2,4,1,2,1,1,2,5,1,2,2,2,3,2,1,1,1,2,2,2,6
6532,1,1,5,1,1,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,2
5224,2,3,6,2,1,1,1,1,2,2,1,3,3,3,2,1,1,1,2,1,2,1
6926,2,3,4,1,2,2,1,1,7,1,3,2,2,4,4,1,2,1,2,2,5,3
7824,4,3,4,1,2,2,1,1,8,1,3,2,2,4,4,1,2,1,2,6,2,3
7218,3,3,5,1,1,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,3
3113,2,2,2,2,2,1,1,1,9,2,1,2,2,1,1,1,1,1,2,2,2,2
1634,2,3,4,1,2,1,2,1,10,2,2,2,3,3,2,1,1,1,3,3,3,1
7584,1,3,2,1,2,1,2,1,5,1,3,2,2,3,2,1,1,2,2,4,6,1
2858,1,2,5,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,2,1,2
6356,1,3,4,1,5,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,4
4965,3,3,4,2,2,1,1,1,11,1,3,2,2,3,2,1,1,2,3,4,5,5
3044,2,1,4,2,2,1,1,1,1,2,1,2,2,3,2,1,1,1,2,2,2,2
6424,2,1,4,1,3,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,2
2024,1,2,4,2,2,1,1,1,4,2,1,2,2,1,1,1,1,1,2,3,2,2
1632,2,2,4,1,2,1,2,1,2,2,2,3,3,3,2,1,1,1,3,3,3,1
457,2,1,1,2,7,1,1,1,4,1,4,2,4,3,2,1,1,1,2,3,1,4
2126,1,1,2,2,2,1,1,1,4,2,1,2,2,3,1,1,1,1,2,3,2,2
6849,1,3,4,1,1,1,1,2,3,2,3,2,1,3,2,1,1,1,3,4,2,2
2447,2,2,4,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,3,2,2
7393,3,3,4,1,1,1,1,2,3,2,3,2,1,3,2,1,1,1,3,4,2,2
6495,2,3,5,1,5,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,2
2835,2,2,4,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,2,2,2
6455,2,1,4,1,3,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,3
7201,4,2,3,1,2,1,2,1,1,1,3,1,2,3,2,1,1,2,2,4,4,1
5880,1,2,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1
6567,1,3,5,1,1,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,3
4127,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4
5809,1,1,4,1,1,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,2
2758,2,2,4,2,2,1,1,1,9,2,1,2,2,3,2,1,1,1,2,2,1,2
2312,1,1,2,2,2,1,1,1,6,2,1,2,2,1,1,1,1,1,2,2,2,2
6334,1,1,5,1,3,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,2
4808,2,2,2,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,1,2
5021,2,1,1,1,1,1,1,1,5,1,1,1,1,1,7,1,1,1,1,1,1,2
4086,1,2,2,2,2,1,1,1,6,2,1,2,2,1,3,1,1,1,2,2,2,2
1055,1,2,3,2,8,1,2,2,1,2,1,2,2,3,2,1,1,1,2,2,2,2
682,4,3,1,2,7,1,1,1,9,1,5,2,2,3,2,1,1,1,2,3,6,1
2614,1,1,4,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,3,1,2
6770,2,1,5,1,1,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,3
5979,2,1,3,1,2,1,1,2,9,1,3,2,3,3,2,1,1,1,4,1,1,2
3989,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2
1313,4,1,1,2,8,1,1,1,10,1,5,2,2,3,2,1,1,1,2,3,6,1
1790,2,3,3,1,2,1,2,1,10,2,2,3,3,3,2,1,1,1,3,3,3,1
647,1,1,1,2,7,1,1,1,4,1,5,2,2,3,2,1,1,1,2,3,4,1
7627,3,3,4,1,3,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,4
3194,2,1,5,2,2,1,1,1,4,2,1,2,2,3,3,1,1,1,2,2,2,2
5610,2,2,2,1,1,1,1,1,2,1,1,1,1,7,1,1,1,1,1,1,1,1
7614,4,3,2,1,2,1,2,1,5,1,3,1,2,3,2,1,1,2,2,4,4,1
6732,1,3,5,1,3,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,2
465,1,3,3,2,7,1,1,1,5,1,5,2,2,3,2,1,1,1,2,3,6,7
1561,1,2,4,1,2,1,2,1,1,2,2,3,2,3,2,1,1,1,3,3,3,1
4545,2,1,1,1,1,1,1,1,2,1,1,1,1,7,1,1,1,1,1,1,1,1
65,1,3,3,2,8,1,1,1,4,1,5,2,2,3,2,1,1,1,2,3,4,1
7487,3,3,4,1,3,1,1,2,3,2,3,1,2,3,1,1,1,1,3,4,2,3
3078,2,1,2,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,3,2,2
6282,2,1,4,1,1,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,4
1022,1,1,3,2,7,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,4,7
4307,2,1,2,1,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,1,2,1
4392,1,1,2,1,1,1,1,1,5,1,1,1,1,1,7,1,1,1,1,1,1,2
2718,1,1,5,2,2,1,1,1,6,2,1,2,2,3,2,1,1,1,2,3,2,2
2473,1,1,2,2,2,1,1,1,1,2,1,2,2,3,1,1,1,1,2,2,1,2
866,2,1,1,2,8,1,1,1,1,1,4,2,4,3,2,1,1,1,2,2,1,4
4237,2,2,2,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,2,4
1595,1,2,2,2,2,1,1,1,9,2,1,2,2,3,2,1,1,1,2,2,2,2
8099,2,3,4,1,2,2,1,1,7,1,3,2,2,4,4,1,2,1,2,6,2,3
2918,2,1,4,2,2,1,1,1,6,2,1,2,2,3,3,1,1,1,2,2,2,2
6076,3,3,4,1,1,1,1,2,3,2,3,1,1,1,1,1,1,1,3,4,2,4
4529,1,1,2,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,2,4
4184,1,2,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4
6079,2,1,5,1,5,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,3
1078,1,1,4,2,8,1,1,1,1,1,4,2,4,3,2,1,1,1,2,3,4,4
222,2,2,3,2,7,1,2,2,1,2,1,2,2,3,2,1,1,1,2,2,2,2
5901,2,1,2,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,2
3589,1,2,7,1,4,1,1,2,5,1,1,2,2,3,2,1,1,1,2,3,4,2
800,1,1,1,2,7,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,6,1
2851,1,2,4,2,2,1,1,1,6,2,1,2,2,1,1,1,1,1,2,2,2,2
3882,2,1,2,2,2,1,1,1,6,2,1,2,2,3,3,1,1,1,2,2,1,2
2372,1,2,4,2,2,1,1,1,6,2,1,2,2,3,1,1,1,1,2,2,2,2
7920,3,2,2,1,2,1,2,1,9,1,3,2,1,3,2,1,1,2,2,4,6,1
6633,1,3,5,1,1,1,1,2,3,2,3,1,1,1,1,1,1,1,3,4,2,3
3184,2,1,5,2,2,1,1,1,6,2,1,2,2,2,1,1,1,1,2,3,2,2
1183,1,1,3,2,7,1,1,1,4,1,5,2,2,3,2,1,1,1,2,3,4,1
263,2,2,3,2,8,1,2,2,9,2,1,2,2,3,2,1,1,1,2,8,2,2
3077,2,2,2,1,1,1,1,1,5,1,1,1,1,1,7,1,1,1,1,1,2,4
23,4,3,3,2,8,1,1,1,5,1,5,2,2,3,2,1,1,1,2,3,4,7
743,2,1,1,2,8,1,1,1,4,1,4,2,4,3,2,1,1,1,2,2,4,4
6165,1,3,5,1,1,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,2
908,1,3,4,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,2,2,1
2646,2,2,3,1,2,1,2,1,2,2,2,2,3,3,2,1,1,1,3,3,4,1
3006,2,1,4,2,2,1,1,1,1,2,1,2,2,3,2,1,1,1,2,3,1,2
3661,1,1,4,2,2,1,1,1,1,2,1,2,2,3,2,1,1,1,2,3,1,2
6818,2,3,4,1,5,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,2
4354,2,1,2,1,1,1,1,1,2,1,1,1,1,7,5,1,1,1,1,1,1,1
2208,1,1,2,2,2,1,1,1,9,2,1,2,2,1,1,1,1,1,2,2,2,2
3971,2,1,4,2,2,1,1,1,6,2,1,2,2,1,1,1,1,1,2,2,2,2
1199,1,1,3,2,8,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,6,1
2776,2,2,4,2,2,1,1,1,4,2,1,2,2,3,1,1,1,1,2,3,2,2
2057,1,2,3,1,2,1,2,1,1,2,2,2,3,3,2,1,1,1,3,2,3,1
4287,1,2,1,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,2,2
5022,2,1,9,1,2,1,1,2,1,1,3,2,3,3,2,1,1,1,4,1,2,2
4652,1,2,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,2,4
7564,3,1,5,1,5,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,2
5416,1,3,4,2,2,1,1,1,11,1,3,2,2,6,8,1,1,2,3,4,5,5
1057,1,1,1,2,8,1,1,1,9,1,5,2,2,3,2,1,1,1,2,3,6,1
2420,1,2,4,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2
1465,1,2,4,2,2,1,1,1,4,2,1,2,2,2,3,1,1,1,2,2,1,2
5204,2,2,4,1,2,1,1,2,9,1,3,1,4,3,5,1,1,1,3,4,2,2
5156,1,3,6,2,1,1,1,1,2,2,1,3,2,3,2,1,1,1,2,1,2,1
4228,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,4
1330,2,3,3,1,2,1,2,1,4,2,2,2,2,3,2,1,1,1,3,3,3,1
3927,2,1,5,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2
1941,1,2,4,2,2,1,1,1,4,2,1,2,2,3,2,1,1,1,2,3,2,2
5314,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,2,1
1487,1,3,4,1,2,1,2,1,2,2,2,2,3,3,2,1,1,1,3,2,4,1
2142,1,1,5,2,2,1,1,1,4,2,1,2,2,3,2,1,1,1,2,3,1,2
2627,2,2,2,2,2,1,1,1,4,2,1,2,2,1,1,1,1,1,2,2,2,2
3213,2,2,5,2,2,1,1,1,4,2,1,2,2,3,3,1,1,1,2,3,2,2
319,1,1,1,2,8,1,1,1,10,1,5,2,2,3,2,1,1,1,2,2,4,7
6687,1,1,5,1,1,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,3
1897,2,3,4,1,2,1,2,1,4,2,2,3,3,3,2,1,1,1,3,3,3,1
4647,2,2,1,1,1,1,1,1,2,1,1,1,1,5,7,1,1,1,1,1,1,2
7764,1,3,4,1,2,2,1,1,8,1,3,2,2,4,4,1,3,1,2,2,2,3
1172,1,2,4,1,2,1,1,2,5,1,2,2,2,3,2,1,1,1,2,3,2,6
6152,1,3,4,1,1,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,4
2189,1,2,4,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,3,2,2
7103,3,3,4,1,5,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,2
6046,2,3,4,1,3,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,2
6885,3,1,4,1,5,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,2
132,1,1,1,2,8,1,1,1,5,1,5,2,2,3,2,1,1,1,2,3,4,7
